Renter_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom
AGENT,4,BHK,Apartment,Limat,"50,000",2500,Unfurnished,4
AGENT,4,BHK,Apartment,Limat,"50,000",2500,Unfurnished,4
AGENT,4,BHK,Apartment,Limat,"50,000",2500,Unfurnished,4
AGENT,4,BHK,Apartment,Limat,"50,000",2500,Unfurnished,4
AGENT,4,BHK,Apartment,Limat,"50,000",2500,Unfurnished,4
AGENT,4,BHK,Apartment,Limat,"50,000",2500,Unfurnished,4
AGENT,5,BHK,Apartment,Limat,1.8,4500,Unfurnished,5
AGENT,5,BHK,Apartment,Limat,1.8,4500,Unfurnished,5
AGENT,5,BHK,Apartment,Limat,1.8,4500,Unfurnished,5
AGENT,4,BHK,Apartment,Limat,"50,000",2500,Unfurnished,4
AGENT,5,BHK,Apartment,Limat,1.8,4500,Unfurnished,5
AGENT,4,BHK,Apartment,Limat,"50,000",2500,Unfurnished,4
AGENT,3,BHK,Apartment,Limat,"32,000",1800,Unfurnished,3
AGENT,5,BHK,Apartment,Limat,1.8,4500,Unfurnished,5
AGENT,5,BHK,Apartment,Limat,1.8,4500,Unfurnished,5
AGENT,5,BHK,Apartment,Limat,1.8,4500,Unfurnished,5
AGENT,3,BHK,Apartment,Limat,"32,000",1800,Unfurnished,3
AGENT,5,BHK,Apartment,Limat,1.8,4500,Unfurnished,5
AGENT,5,BHK,Apartment,Limat,1.8,4500,Unfurnished,5
AGENT,3,BHK,Apartment,Limat,"32,000",1800,Unfurnished,3
AGENT,4,BHK,Apartment,Limat,"50,000",2500,Unfurnished,4
AGENT,4,BHK,Apartment,Limat,"50,000",2500,Unfurnished,4
AGENT,4,BHK,Apartment,Limat,"50,000",2500,Unfurnished,4
AGENT,5,BHK,Apartment,Limat,1.8,4500,Unfurnished,5
AGENT,5,BHK,Apartment,Limat,1.8,4500,Unfurnished,5
AGENT,3,BHK,Apartment,Limat,"32,000",1800,Unfurnished,3
AGENT,3,BHK,Apartment,Limat,"32,000",1800,Unfurnished,3
AGENT,5,BHK,Apartment,Limat,1.8,4500,Unfurnished,5
AGENT,5,BHK,Apartment,Limat,1.8,4500,Unfurnished,5
AGENT,3,BHK,Apartment,Limat,"32,000",1800,Unfurnished,3
AGENT,3,BHK,Apartment,Limat,"32,000",1800,Unfurnished,3
AGENT,5,BHK,Apartment,Limat,1.8,4500,Unfurnished,5
